fid,DN,_sum
1,1,10.1493003348448
2,1,27357.7192382812
3,1,223.284607366524
4,1,471.684814453125
5,1,57.8027877807617
6,1,22.3874948636003
7,1,6.41461181978962
8,1,447.174911499023
9,1,38.4876709187377
10,1,431.434375762939
11,1,115.463012756229
12,1,128.292236395805
13,1,223.587455749512
14,1,199.123558044434
15,1,2.85637744020256
16,1,19.2438354593714
17,1,2.85637744020256
18,1,331.872596740723
19,1,6.41461181978962
20,1,670.762367248535
21,1,1043.40812683105
22,1,25.6584472791533
23,1,6.41461181979474
24,1,199.123558044434
25,1,5.27079298293699
26,1,21.0831719317501
27,1,199.123558044434
28,1,2.8563774402037
29,1,199.123558044434
30,1,8.56913232060984
31,1,6.14905907722682
32,1,10.8746190943856
33,1,12.2981181544536
34,1,122.824229928724
35,1,5.71275488040741
36,1,3.9697372156173
37,1,8.56913232061111
38,1,10.5415859658824
39,1,3.84951239018316
40,1,3.8495123901847
41,1,3.8495123901847
42,1,65.9545695845964
43,1,491.987655639648
44,1,3.8495123901847
45,1,16.7956334735273
46,1,2.13088075474921
47,1,7.93947443123778
48,1,3.96973721562048
49,1,507.353012084961
50,1,27.788160509336
51,1,3.84951239018316
52,1,3.84951239018316
53,1,2.13088075475006
54,1,3.96973721561889
55,1,7.93947443124413
56,1,11.5485371705479
57,1,19.2475619509235
58,1,5.27079298293699
59,1,10.541585965874
60,1,306.19758605957
61,1,5.27079298293699
62,1,5.27079298293843
63,1,10.5415859658782
64,1,2.34326302944282
65,1,5.48671608124984
66,1,5.27079298293909
67,1,254.993011474609
68,1,10.9734321624997
69,1,17.0470460380026
70,1,4.32821133485069
71,1,183.718551635742
72,1,5.48671608125062
73,1,2.34326302944282
74,1,2.34326302944282
75,1,18.7461042355445
76,1,1.6548487106228
77,1,11.6327719688416
78,1,1.65484871062214
79,1,192.271137237549
80,1,19.3879532814026
81,1,18.2033358168535
82,1,57.6813411712646
83,1,3.30969742124692
84,1,8.72091084384782
85,1,8.7209108438513
86,1,2.50747884134635
87,1,2.50747884134635
88,1,28.8404173481295
89,1,2.50747884134663
90,1,3.42928266910129
91,1,17.5523518894285
92,1,8.7209108438513
93,1,2.50747884134635
94,1,48.0099573674225
95,1,1718.60047149658
96,1,0.667476771610893
97,1,28.8650371116908
98,1,3.42928266910266
99,1,6.85856533820248
100,1,490.705630898765
101,1,5.57474927292388
102,1,10.2878480073066
103,1,144.325185558489
104,1,5.57474927292611
105,1,3.42928266910129
106,1,670.745727539062
107,1,57.7300742233816
108,1,5.57474927292611
109,1,288.650371116943
110,1,28.8650371116908
111,1,28.8650371117023
112,1,86.5951113350762
113,1,5.57474927292388
114,1,3.42928266910129
115,1,129.54216003418
116,1,358.592823028564
117,1,28.8650371116793
118,1,6.85856533820372
119,1,28.8650371116908
120,1,57.7300742233585
121,1,1.13870459657125
122,1,17.1464133455064
123,1,144.325185558513
124,1,3.42928266910039
125,1,14.6126121092994
126,1,28.8650371116908
127,1,5.69352298285171
128,1,13.7171306764038
129,1,26.460428237915
130,1,11.3870459657016
131,1,132.302141189575
132,1,27.8737463646149
133,1,5.57474927292388
134,1,194.31324005127
135,1,953076.48818779
136,1,1.89749863313395
137,1,16.7242478187672
138,1,16.7242478187761
139,1,129.54216003418
140,1,5.57474927292834
141,1,2.53035938454004
142,1,5.57474927292388
143,1,11.0231895446777
144,1,27.5579738616943
145,1,55.7474927292432
146,1,27.8737463646239
147,1,5.57474927292391
148,1,96.3350464833893
149,1,0.714111268800546
150,1,453.397560119629
151,1,1087.14665412903
152,1,0.714111268800809
153,1,16.5940227508545
154,1,441.547336578369
155,1,0.308468689572147
156,1,10.7519724369049
157,1,1.33508175423185
158,1,11.6338891983032
159,1,7.16798162460327
160,1,0.333738385805846
161,1,2202.21672058105
162,1,0.308468689572147
163,1,269.600318908691
164,1,0.667540877115816
165,1,127.972781181335
166,1,7.16798162460327
167,1,0.925406068716442
168,1,0.616937379144295
169,1,1.33508175423158
170,1,0.333770438557896
171,1,0.667540877115791
172,1,71.6798162460327
173,1,10.7519724369049
174,1,0.333770438558029
175,1,1.33508175423265
176,1,0.616937379144295
177,1,2.13993448758377
178,1,4.36352478522168
179,1,0
180,1,1.67939020198012
181,1,0
182,1,0
183,1,5.87786570693242
184,1,3233.87759590149
