fid,DN,_sum
1,1,0.00018334858759772
2,1,0.214609521783132
3,1,0.00192516016977606
4,1,0.00284190310776467
5,1,0.0645416211336851
6,1,0.150597115978599
7,1,11.8580595639965
8,1,1060.86347293854
9,1,82.6646862030029
10,1,67.3218975067139
11,1,179.106820106506
12,1,247.994058609009
13,1,371.991087913513
14,1,27.7207813262939
15,1,0.426051693931589
16,1,41.3323431015015
17,1,0.426051693931384
18,1,34.1559627056122
19,1,11.8580595639968
20,1,661.317489624023
21,1,2245.72397518158
22,1,68.8872385025024
23,1,11.8580595640033
24,1,13.860390663147
25,1,14.7546814112286
26,1,68.5717086791992
27,1,37.6210603713989
28,1,0.426051693931488
29,1,13.860390663147
30,1,1.48504185676575
31,1,0
32,1,0
33,1,0
34,1,18.3155162334442
35,1,0.990027904510498
36,1,9.68412371566673
37,1,1.48504185676575
38,1,34.2858543395996
39,1,0.426051693931605
40,1,0.466072857653673
41,1,0.466072857653442
42,1,49.8801409006119
43,1,56.858873963356
44,1,0.466072857654057
45,1,148.552362084389
46,1,31.8477250231917
47,1,4.60467324241236
48,1,9.68412371567154
49,1,610.295627713203
50,1,78.7614154815674
51,1,0.466072857653656
52,1,0.466072857653725
53,1,31.8477250231856
54,1,9.68412371567373
55,1,22.5032615661621
56,1,1.62453925609589
57,1,2.70756542682648
58,1,14.7546814112305
59,1,31.9958551418893
60,1,462.859033584595
61,1,14.7546814112305
62,1,14.7546814112226
63,1,29.5093628224555
64,1,31.8477250231861
65,1,4.23787723777411
66,1,14.7546814112247
67,1,49.2383527755737
68,1,9.84767055511475
69,1,296.021697998047
70,1,14.7546814112241
71,1,1353.66028022766
72,1,4.23787723777559
73,1,29.1162058794047
74,1,29.1162058794166
75,1,270.632476806641
76,1,43.9401361145183
77,1,24.7369945049286
78,1,43.9401361145091
79,1,3165.25155639648
80,1,9.34508681297302
81,1,510.524444580078
82,1,357.367111206055
83,1,102.104888916016
84,1,4.82428178768265
85,1,4.82428178768457
86,1,0
87,1,0
88,1,120.607575416565
89,1,0
90,1,11.5339199751857
91,1,0
92,1,4.82428178768481
93,1,0
94,1,134.008417129517
95,1,754.973034381866
96,1,0.946257360901798
97,1,5.84867657111592
98,1,11.5339199751811
99,1,23.0678399503631
100,1,88.3397369384766
101,1,121.475914854787
102,1,40.202525138855
103,1,33.9768218994141
104,1,121.475914854787
105,1,11.5339199751845
106,1,176.679473876953
107,1,13.5907287597656
108,1,5.26392637253909
109,1,67.9536437988281
110,1,5.84867657111873
111,1,5.84867657111895
112,1,20.3860931396484
113,1,5.26392637253853
114,1,11.5339199751833
115,1,24.4638576507568
116,1,1581.2993221283
117,1,13.5907287597656
118,1,26.8016834259033
119,1,5.84867657111789
120,1,13.5907287597656
121,1,3.63310532504341
122,1,53.6033668518066
123,1,33.9768218994141
124,1,11.5339199751868
125,1,67.0042085647583
126,1,5.84867657111712
127,1,40.202525138855
128,1,46.135679900738
129,1,211.058640480042
130,1,37.9905552864075
131,1,156.183393955231
132,1,24.4638576507568
133,1,5.2639263725386
134,1,140.667181491852
135,1,5193870.60778058
136,1,7.85851955413818
137,1,18.3478932380676
138,1,18.3478932380676
139,1,55.0436797142029
140,1,5.26392637254248
141,1,11.7877793312073
142,1,5.26392637254136
143,1,7.85851955413818
144,1,80.5498254299164
145,1,55.0436797142029
146,1,30.579822063446
147,1,5.26392637254077
148,1,220.174718856812
149,1,0.00207349148592022
150,1,348.609971523285
151,1,2456.86905297521
152,1,0.00207349148591899
153,1,0.0602278567384928
154,1,537.36270236969
155,1,0.466295018700244
156,1,4.22117280960083
157,1,11.3214988708496
158,1,260.394474029541
159,1,0
160,1,0.473128680451379
161,1,2605.4008398056
162,1,0
163,1,400.905612468719
164,1,9.7442582169546
165,1,1822.76131820679
166,1,0
167,1,0
168,1,0
169,1,11.3214988708496
170,1,4.87212910847514
171,1,11.3214988708496
172,1,0
173,1,0
174,1,4.87212910847833
175,1,22.6429977416992
176,1,0
177,1,36.6540679931641
178,1,183.27033996582
179,1,2.08345699310303
180,1,0.86027826130487
181,1,6.25037097930908
182,1,0.896601375679241
183,1,6.25037097930908
184,1,13128.7946834564
