fid,DN,_count,_sum,_mean
1,1,3,1.02283751964569,0.340945839881897
2,1,2513,877.549337044358,0.349203874669462
3,1,23,8.06837263703346,0.350798810305803
4,1,1.22288481400872,0.891202057235547,0.728770238232096
5,1,0,0,
6,1,0,0,
7,1,0,0,
8,1,0.00596613464651923,0.00434481566786176,0.728246331214905
9,1,0,0,
10,1,4,3.32783508300781,0.831958770751953
11,1,2,1.75100207328796,0.875501036643982
12,1,0,0,
13,1,5,3.92322528362274,0.784645056724548
14,1,2,1.41080355644226,0.70540177822113
15,1,0,0,
16,1,0,0,
17,1,0,0,
18,1,15,6.79143965989351,0.452762643992901
19,1,0,0,
20,1,1.63240488160002,1.6281880951379,0.997416825623558
21,1,14,11.2561829686165,0.804013069186892
22,1,0.135453132355889,0.209514854513942,1.5467700958252
23,1,0,0,
24,1,2,1.63712745904922,0.818563729524612
25,1,0,0,
26,1,0.686067268248676,0.557127089655807,0.812058985233307
27,1,0,0,
28,1,0,0,
29,1,0.999999999999594,1.54641747474608,1.5464174747467
30,1,2,1.78999495506287,0.894997477531433
31,1,0.348522149199062,0.439722679787069,1.26167786121368
32,1,0,0,
33,1,0.833793408583535,1.09631194838732,1.31484842300415
34,1,0,0,
35,1,0,0,
36,1,2,1.58130526542664,0.790652632713318
37,1,0.244689894040594,0.207870176074278,0.849524974822998
38,1,0,0,
39,1,0,0,
40,1,0,0,
41,1,0,0,
42,1,0.235226275771152,0.212207710427962,0.902142882347107
43,1,21,21.1257645487785,1.00598878803707
44,1,0,0,
45,1,0,0,
46,1,2,1.17876005172729,0.589380025863647
47,1,0,0,
48,1,0,0,
49,1,51,37.2594880461693,0.730578196983711
50,1,0,0,
51,1,0,0,
52,1,0,0,
53,1,0.105797850972227,0.130770125841957,1.23603763819631
54,1,2,1.83732151985168,0.918660759925842
55,1,2,1.73053574562073,0.865267872810364
56,1,0.336398454541843,0.304593680436728,0.905455052852631
57,1,0.197431748754972,0.202706122325383,1.02671492099762
58,1,0.205618155090477,0.271173335233674,1.31881999969482
59,1,0,0,
60,1,35,45.5690276622772,1.30197221892221
61,1,0.0338276735941403,0.0376906728059086,1.11419641971588
62,1,0,0,
63,1,0.563345508353372,0.586172861298995,1.04052105254615
64,1,0,0,
65,1,0.257555109779334,0.280306833347112,1.08833730220795
66,1,0,0,
67,1,5,9.3907915353775,1.8781583070755
68,1,0,0,
69,1,0,0,
70,1,0.557443894880763,0.47089830829273,0.844745655333538
71,1,16,15.2677511572838,0.954234447330236
72,1,0.252467429180065,0.45116451780147,1.78702068328857
73,1,0,0,
74,1,0,0,
75,1,0,0,
76,1,0,0,
77,1,0,0,
78,1,0,0,
79,1,0,0,
80,1,0,0,
81,1,0,0,
82,1,0,0,
83,1,0,0,
84,1,0,0,
85,1,0,0,
86,1,0,0,
87,1,0,0,
88,1,0,0,
89,1,0,0,
90,1,0,0,
91,1,0,0,
92,1,0,0,
93,1,0,0,
94,1,0,0,
95,1,120,84.3467863500118,0.702889886250099
96,1,0,0,
97,1,1.23873821763893,1.29106581741458,1.04224266195274
98,1,0,0,
99,1,0,0,
100,1,18,10.3891965150833,0.577177584171295
101,1,1.54314137589393,1.00235303135041,0.649553596973419
102,1,0,0,
103,1,6,6.11821436882019,1.01970239480336
104,1,1.91079105420637,1.03370380911949,0.540982127189636
105,1,0,0,
106,1,38,23.4370537996292,0.616764573674453
107,1,4,3.1751264333725,0.793781608343124
108,1,0.982846613906695,0.680621275443809,0.692499995231628
109,1,7,5.17508947849274,0.739298496927534
110,1,0.618670099873191,0.69274479580978,1.11973214149475
111,1,0.969145198218883,0.780865107507649,0.805725611541739
112,1,5,2.74098217487335,0.54819643497467
113,1,0,0,
114,1,0,0,
115,1,5,3.68214279413223,0.736428558826447
116,1,37,29.5403779149055,0.798388592294745
117,1,0,0,
118,1,0.224046401978385,0.19061693841087,0.850792232000491
119,1,0.0157530582994278,0.0111326294490826,0.706696391105652
120,1,0,0,
121,1,0,0,
122,1,0,0,
123,1,3,3.78209888935089,1.26069962978363
124,1,0.953099665757999,0.593927105498238,0.623153198806222
125,1,2,1.30716627836227,0.653583139181137
126,1,0,0,
127,1,1.12777613483921,0.748130527734648,0.66336793679475
128,1,0.0902577025975346,0.0623097381815492,0.690353691577911
129,1,4,4.36861479282379,1.09215369820595
130,1,8,6.44174724817276,0.805218406021595
131,1,4,3.48387783765793,0.870969459414482
132,1,0,0,
133,1,0,0,
134,1,6,5.09969729185104,0.849949548641841
135,1,50470,63313.9702714235,1.25448722550869
136,1,0,0,
137,1,1.17314516885533,1.04098332265921,0.887343996544718
138,1,0.991869967791663,0.601267416017786,0.60619580745697
139,1,6,3.87031376361847,0.645052293936412
140,1,0,0,
141,1,0.999999999999594,0.819000005721713,0.819000005722046
142,1,0,0,
143,1,0,0,
144,1,18,24.0566994547844,1.33648330304358
145,1,3,1.62151783704758,0.540505945682526
146,1,2,1.46921992301941,0.734609961509705
147,1,0,0,
148,1,13,7.68883925676346,0.591449173597189
149,1,0,0,
150,1,0,0,
151,1,38,26.7459997832775,0.703842099559934
152,1,0,0,
153,1,8,4.7649000287056,0.5956125035882
154,1,125,134.973508477211,1.07978806781769
155,1,2,1.85839998722076,0.929199993610382
156,1,7,7.47030001878738,1.06718571696963
157,1,0,0,
158,1,7,8.69584941864014,1.24226420266288
159,1,0,0,
160,1,0,0,
161,1,236,195.313230603933,0.827598434762429
162,1,1.31014715341967,0.285716890024532,0.218079999089241
163,1,507,170.355076625943,0.336006068295746
164,1,0,0,
165,1,0,0,
166,1,0,0,
167,1,0,0,
168,1,0,0,
169,1,0,0,
170,1,0,0,
171,1,0,0,
172,1,14,25.7478396892548,1.83913140637534
173,1,0,0,
174,1,0,0,
175,1,0,0,
176,1,0,0,
177,1,0,0,
178,1,0,0,
179,1,0,0,
180,1,0,0,
181,1,0,0,
182,1,0,0,
183,1,0,0,
184,1,276,328.797417700291,1.19129499166772
