fid,DN,_sum
"1","1",58.2480010986328
"2","1",68179.2852859497
"3","1",611.604011535645
"4","1",902.844017028809
"5","1",21.3629994392395
"6","1",49.8469986915588
"7","1",48.3059815340987
"8","1",4321.625
"9","1",336.75
"10","1",1850.82402801514
"11","1",729.625
"12","1",1010.25
"13","1",1515.375
"14","1",762.104011535645
"15","1",11.7130710494128
"16","1",168.375
"17","1",11.7130710494128
"18","1",939.021014213562
"19","1",48.3059815340974
"20","1",2694
"21","1",9148.375
"22","1",280.625
"23","1",48.3059815340987
"24","1",381.052005767822
"25","1",26.8809342044739
"26","1",124.928001403809
"27","1",1034.28401565552
"28","1",11.7130710494125
"29","1",381.052005767822
"30","1",40.827000617981
"31","1",2.27651350086998
"32","1",10.5799999237061
"33","1",4.5530270017399
"34","1",503.533007621765
"35","1",27.2180004119873
"36","1",17.6457776833477
"37","1",40.827000617981
"38","1",62.4640007019043
"39","1",11.7130710494123
"40","1",8.61976697814772
"41","1",8.6197669781476
"42","1",172.143006324768
"43","1",1051.57503604889
"44","1",8.61976697815495
"45","1",111.074997901917
"46","1",21.7452221643693
"47","1",20.8375848303296
"48","1",17.6457776833479
"49","1",1157.18304538727
"50","1",143.514005661011
"51","1",8.61976697815415
"52","1",8.6197669781468
"53","1",21.7452221643696
"54","1",17.6457776833479
"55","1",41.0040016174316
"56","1",30.0450010299683
"57","1",50.0750017166138
"58","1",26.8809342044732
"59","1",53.140071817691
"60","1",843.264009475708
"61","1",26.8809342044732
"62","1",26.8809342044732
"63","1",53.7618684089463
"64","1",21.7452221643695
"65","1",131.640145555986
"66","1",26.8809342044732
"67","1",1529.47998046875
"68","1",305.89599609375
"69","1",202.119995117188
"70","1",26.8809342044732
"71","1",585.231996536255
"72","1",131.640145555986
"73","1",27.6753456973129
"74","1",27.6753456973128
"75","1",257.239990234375
"76","1",45.616338909705
"77","1",897.795009613037
"78","1",45.616338909705
"79","1",3286
"80","1",339.167003631592
"81","1",530
"82","1",371
"83","1",106
"84","1",126.552636626466
"85","1",126.552636626466
"86","1",13.2072213726472
"87","1",13.2072213726472
"88","1",477.755996704102
"89","1",13.2072213726472
"90","1",45.6886361882562
"91","1",76.725001335144
"92","1",126.552636626471
"93","1",13.207221372659
"94","1",530.839996337891
"95","1",5409.5889415741
"96","1",34.3430787672241
"97","1",56.318102526556
"98","1",45.6886361882581
"99","1",91.3772723765161
"100","1",850.641975402832
"101","1",8.30131338991746
"102","1",159.251998901367
"103","1",327.169990539551
"104","1",8.30131338991724
"105","1",45.6886361882581
"106","1",1701.28395080566
"107","1",130.86799621582
"108","1",23.550941910588
"109","1",654.339981079102
"110","1",56.3181025265575
"111","1",56.3181025265575
"112","1",196.30199432373
"113","1",23.5509419105874
"114","1",45.6886361882581
"115","1",109.452003479004
"116","1",6263.91195678711
"117","1",130.86799621582
"118","1",106.167999267578
"119","1",56.3181025265575
"120","1",130.86799621582
"121","1",26.8465059909233
"122","1",212.335998535156
"123","1",327.169990539551
"124","1",45.6886361882581
"125","1",265.419998168945
"126","1",56.3181025265575
"127","1",159.251998901367
"128","1",182.754544753027
"129","1",1559.59997177124
"130","1",280.727994918823
"131","1",1154.10397911072
"132","1",109.452003479004
"133","1",23.5509419105874
"134","1",629.349020004272
"135","1",4667313.8048203
"136","1",107.440002441406
"137","1",82.0890026092529
"138","1",82.0890026092529
"139","1",246.267007827759
"140","1",23.5509419105874
"141","1",161.160003662109
"142","1",23.5509419105874
"143","1",107.440002441406
"144","1",1101.26002502441
"145","1",246.267007827759
"146","1",136.815004348755
"147","1",23.5509419105874
"148","1",985.068031311035
"149","1",9.79976641904338
"150","1",1559.69104957581
"151","1",38687.3146190643
"152","1",9.79976641903503
"153","1",284.649991989136
"154","1",3204.0890007019
"155","1",8.58037034036264
"156","1",120.176996707916
"157","1",31.7600002288818
"158","1",730.480005264282
"159","1",20.534999370575
"160","1",17.1715393836271
"161","1",11656.6383705139
"162","1",5.89139302389144
"163","1",9951.28898763657
"164","1",27.3353761172265
"165","1",5113.36003684998
"166","1",205.34999370575
"167","1",20.534999370575
"168","1",11.7827860477829
"169","1",31.7600002288818
"170","1",13.6676880586132
"171","1",31.7600002288818
"172","1",1266.32496118546
"173","1",75.2949976921082
"174","1",13.6676880586132
"175","1",63.5200004577637
"176","1",11.7827860477829
"177","1",60.2000007629395
"178","1",301.000003814697
"179","1",51.6399993896484
"180","1",21.3226162038944
"181","1",154.919998168945
"182","1",22.2229029571245
"183","1",154.919998168945
"184","1",90942.9394426346
